symbol
MAP2K4
FLNC
MYPN
ACTN2
ACVR1
FNTA
GATA2
PML
RPA2
STAT3
ARF1
GGA3
ARF3
ARFIP2
ARFIP1
XRN1
ALDOA
APP
APPBP2
APLP1
DAB1
CITED2
TFAP2A
EP300
APOB
MTTP
ARRB2
RALGDS
CSF1R
GRB2
PRRC2A
LSM1
NARS
SLC4A1
SLC4A1AP
BCL3
BARD1
ADRB1
GIPC1
BRCA1
ATF1
MSH2
MSH6
ARVCF
CDH15
PCBD1
CACNA1C
PSEN2
CAPN1
CAPN3
TTN
ITPR1
CA8
MAGI1
CTNNB1
RB1
CUX1
TSG101
CDKN1A
ORC1
MCM2
ORC4
MCM5
CDC7
ORC2
DBF4
AKAP8
RPA1
RPA3
ORC5
MCM3
YWHAZ
CDC25A
DOCK8
CDC42
TRIP10
CDKN3
CDK2
RBBP8
RBL1
HAND2
CENPB
CLTC
HGS
IGFBP3
COL1A1
TXN
ATF2
SMAD3
SMAD4
CCND3
EIF3K
RALBP1
CCNB1
PPIB
CAMLG
CSK
INSR
IGF1R
DCN
EGFR
SIM2
ARNT
SIM1
NPAS4
HBEGF
ZBTB16
PCNA
GADD45A
TOPBP1
TOP2B
FLNA
DRD3
LSM3
SNRPE
LSM4
LSM5
EGR1
CREBBP
NUMA1
EPB41
EXOSC4
EEF1A1
PLCG1
KTN1
EEF1D
KDR
ANXA5
PPARGC1B
ESR1
SMARCA4
DDX54
DNTTIP2
FGFR1
FDPS
TGFB1
SUMO1
FAS
MPP6
FTL
FGA
ITGB1
FRS3
GABRG2
GABARAP
SFN
NR3C1
TGFB1I1
ECD
GCK
PFKFB2
HSPA5
DPH1
SLC2A2
KPNA2
SLC2A4
DAXX
GRIK2
SDCBP
PICK1
GRIK1
CCNT1
GRN
RGS19
GNAZ
GNAO1
GNAI2
GNAI3
HSF2
UBE2I
LIMK1
NRG1
FGF7
HSPG2
MAD2L2
P4HA2
CCR10
C1QBP
EIF3E
GANAB
HNRNPA1
PSMA3
HNRNPM
MAN2C1
SSR3
DDX20
UBAP2L
IMMT
CPSF1
PRMT2
QARS
IFT88
BAG6
HTT
SETD2
HAP1
ZDHHC17
HYPK
MEF2D
YWHAQ
TCF3
ID3
IRS1
YWHAE
SOCS1
PTK2
MAPK8
IL1A
NDN
JAK2
PRMT5
BYSL
KRT8
KRT18
CBL
DNAJB6
LMNA
LMNB1
SREBF1
NARF
MLLT4
BCR
BNIPL
BCL2
BNIP2
SMN1
TP53BP2
RTN4
BECN1
NFKB1
LYL1
SKAP1
PTPRC
ALOX5
COTL1
VAV1
XRCC6
NCF4
XRCC5
MRE11A
CBX5
PIAS4
LEF1
MITF
DHDDS
LOX
YBX1
SRSF9
ATRNL1
MC4R
ATF7IP
MBD1
CHAF1A
PIAS3
PATZ1
ANP32A
MAP1B
MCM7
ORC3
FHL2
NOV
POLR2L
KMT2A
PPIE
PPP1R15A
RAP1GAP
PVRL1
PFN1
MYF5
NEB
NGFR
PRKACB
LSM7
NPY1R
SNCAIP
SNCA
NFKBIA
UBE2E3
EPB41L1
MAP3K8
RELA
FOS
RNF25
PPP1R13L
FEN1
NOP2
MCRS1
ETS1
PLXNA1
AKT1
AKT2
APPL1
ETS2
CDK10
SHANK2
CTTN
WIPF1
SNW1
SKI
NRAS
RAP1GDS1
GLMN
MET
KDM5B
FOXG1
EZH2
REL
PPP4C
FLT1
SHC1
OPRD1
GPRASP1
MYO1C
PDE6D
RHOB
RHOA
PAX5
TLE4
PAX9
KALRN
PAM
NRBF2
PPARA
PIK3R3
PIK3CA
APOA1
PDE1A
LSM8
PGD
SNX17
SELP
PKD1
PKD2
TRPC1
KCNA4
DLG1
PFN2
FHOD1
HUS1
PTPRB
MAGI3
PRKAR1A
PRKAR1B
AKAP1
FER
TMF1
MAPK1
NEK2
HABP4
GNB2L1
NSMAF
AR
ST7
ITGB2
PDPK1
PRKCZ
WWC1
MAF
ARHGDIG
RHOG
CD2AP
RAB4A
RABEP1
RAB5A
RIN3
RAB5B
RAP1A
KRIT1
RGL2
RAP1B
RAP2B
EXOC8
RALA
BRCA2
RAD51
RAD51AP1
DMC1
HBP1
TRAP1
AATF
THOC1
RBL2
RXRA
BRD8
ANK1
RHAG
LMO2
KDM5A
TAL1
UPF2
RPS25
RPLP1
RPLP2
CYTH1
ARFRP1
TOP3B
SNRPB
PDZK1
SLC9A3
SLC17A1
OBSCN
SOX9
NR5A1
NRIP1
CLU
TGFBR2
UNC13B
STX1A
CD27
SIVA1
FKBP1A
TGFBR1
YY1
FKBP2
ARFGEF1
NCAPG2
MYO7A
AKAP10
TCAP
APBB1
TFCP2
CEBPZ
NFYB
ZEB1
DRAP1
KAT5
E2F1
ATM
ABL1
NTRK1
TTF2
MYB
HRAS
HSH2D
FES
KRAS
SRC
EPHB2
TNNC1
TNNT1
TNFAIP3
TAX1BP1
TP53
WWOX
CDC14A
TNFRSF1A
PSMD2
SHC2
DDR2
CDH1
CTNND1
CBLL1
ITGA1
BIN1
ITGA4
EED
FLI1
GATA1
VHL
VBP1
JADE1
XRCC1
LIG3
PNKP
ZNF24
ZNF174
ZNF10
TRIM28
TRIM24
COG5
MEFV
VEZT
XPA
RPA4
XPC
RAD23A
CMIP
TRIO
CASR
HCFC1
GABPA
AGTR2
MTUS1
RANBP9
USP11
SFPQ
NONO
PRKCI
BMX
