symbol_1,symbol_2,pubmed_ids
NBR1,TRIM63,15802564
PPP1R9A,RAC3,16525025
CRY2,UBC,22871113
CLK2,SAFB,9671816
IRS1,JAK2,12960006
HDAC6,TUBB5,19961433
DSTYK,UBC,22871113
GRB2,INSR,7953556
BATF3,PGR,12101239
AKAP9,UBE2I,21616059
ID1,PSMD4,23831032
HSPA8,KATNA1,23904609
GOPC,NLGN1,15458844
GOPC,NLGN2,15458844
EPS15,MOB4,11872741
FGF1,FGFR2,11042206
ATP1A2,SLC8A1,14593108
CAV3,NOS1,9353265
APOD,LEPR,11344130
APC,MACF1,16815997
CDC27,FZR1,22949615
CSNK2B,RPS6KB1,16895915
GARS,UBC,22871113
ARC,TFPT,10644725
RAD23B,TNNC2,19182904
BRAF,HRAS,9679960
CREB1,HSPA1A,16207717
TSC1,TSC2,12147258;10807585
HIST3H2A,RNF4,11319220
CAMK2G,UBC,22871113
ARCN1,INSR,25687571
GRIA2,PICK1,15458844;24749734
CAPZA1,DAB1,18076569
CBL,IRS1,19546233
HDAC3,HR,12403844
ARL8A,UBC,22871113
EGFR,GRB2,12218049
EP300,TNP2,19710011
SHANK3,SHARPIN,23897824
AP2A2,DNM1,10430869
DLG4,KLHL17,12063253
LOC680063,UBC,22871113
MAP1LC3B,TUBA1A,7908909
CAV1,UBC,22871113
NTRK1,PSMC2,18419753
TSC2,YWHAB,12582162;12468542
EP300,PSMD9,16293776
APBA1,NRXN1,11036064
HSP90AA1,MS4A2,19356729
PDIA3,STAT3,10464281
LMNB1,TMPO,9305626
AKT1,HSP90AA1,19356729
MLLT10,TUBA1A,12750376
MAGI3,SDK2,15458844
AP2B1,SYNRG,16903783
KHDRBS1,KHDRBS3,11118435
EPB4.1,SPTAN1,11274145
SNAP25,VAMP2,10644763
BRF1,EPHB1,16407335
SNCA,YWHAB,10407019
CEBPB,GTF2B,8972203
IGBP1,UBR5,20544796
BRDT,ERP44,22215678
TCEB2,TCEB3,19037258;10224134
DNMT1,PCNA,19683557
RAF1,RFXANK,10329666
CAMK2A,GRM7,15494036
RUNX1,SUMO3,22082260
DAB2,FCHO2,20448150
CAMK2A,GRM2,15494036
AKT1,GSK3B,15632182;16142243
CBL,SHC1,9918770
G3BP2,UBC,22871113
CCNA1,CTNNB1,14985333
GRIN1,UBC,22405206;22871113
CAMK2A,PARP1,15607978
CYP3A23/3A1,UBC,11901229
KLF4,LAMC1,12034813
CASK,NRXN2,8786425
CASK,NRXN3,8786425
CASK,NRXN1,8786425;11036064
DNAJC7,HSPA8,10567422
OPTN,TFRC,24683533
PRKCG,STXBP1,8631738
ITM2B,UBC,22871113
TRAF3,UBC,22871113
MYL6L,UBC,22871113
ATP1A1,UBC,22871113
SNCA,TH,11943812
GPRC5B,UBC,22871113
P2RY12,UBC,22871113
CASK,DLG1,12351654
ATP1A1,FXYD7,12093728
ATP1A1,FXYD4,15743908
ATP1A1,FXYD3,15743908
BRAF,NTRK1,17380122
GRIK1,HOMER2,9069287
NCKAP1,UBC,22871113
GRM1,PSMA2,22486777
CREBBP,WT1,11278547
HUNK,NEDD4,22745772
B2M,UBC,12847084
NEDD4,SCN2A,15548568
SCN3B,UBC,22871113
CREBBP,HES1,15607978
NFATC1,OGT,17882263
ITM2C,UBC,22871113
SIAH2,SNCA,19224863
RTCB,UBC,22871113
HSP90AB1,KATNA1,23904609
PABPC1,TOB2,16554297
ARRB2,TRHR,12393857
CTF2,SRC,16511561
SNAP25,STX3,9168999;7768895
SNAP25,STX2,9168999;7768895
AP2A1,ITSN1,16903783
SNAP25,STX4,9168999;7768895
RCBTB1,UBC,22871113
COPS3,UBC,22871113
KLHL17,PDZK1,12063253
SNAP91,UBC,22871113
GGT7,UBC,22871113
EPAS1,VHL,12675925
FLNA,GRM8,11943148
SRF,SSRP1,10336466
CYTH2,GRASP,12586822
FLNA,GRM7,11943148
NFASC,SDCBP2,11152476
GPC3,SHH,18477453
DLGAP3,RGS12,17380122
DNM2,SORBS1,19116150
PFKFB1,PRKAA2,15896703
DNM2,SORBS2,15659545
APC,PTPN13,10951583
DENND1A,NECAP2,17762867
NEFL,TSC1,12226091
NEFL,TSC2,12226091
SLC17A7,SNCA,16306404
NCAM1,UBB,17971410
NCAM1,UBC,22871113
AP2B1,EPN2,16903783
KCNQ3,NEDD4,17322297
AMPH,FABP4,11382783
SNAP25,SYP,10825299
ENO1,LYN,14604964
EPB41L3,UBC,22871113
MGRN1,UBC,22871113
BAG1,RAF1,14978028
SREBF1,UBC,24425205
ANXA2,RAD23B,19182904
CYP2B1,HSPA4,19401463
HGS,SYP,10825299
IDE,UBC,22871113
PSMF1,RAD23B,19182904
GDAP1,UBC,22871113
MYO5A,TRIM2,11432975
PPM1A,SNF1,22019086
DACT2,HDAC1,21718540
ACYP1,UBC,22871113
GEMIN2,SMAD9,12714599
GIPC1,GRIA2,15458844
DPYSL2,NUMB,12942088
AP2A1,NECAP1,16903783
PAH1,PRKCA,24876385
CAND1,PSMC5,10526239
AP2A1,BIN1,11382783
AP2B1,BIN1,11382783
PSMD4,RPN1,23831032
TMEM59,UBC,22871113
CAND1,PSMC2,10526239
TP53,XRCC6,18162465
MFAP3,UBC,22871113
CIB1,PLK3,10523297
CIB1,PLK2,10523297
GRASP,PRKCSH,12586822
CAMKK2,SNF1,22019086
NTRK1,PSMB10,18419753
CREB3L1,UBC,22705851
THRB,TRIP11,7776974
THRB,TRIP10,7776974
NCL,PARK7,16854843
AP1G2,SYNRG,10477754
SNAP25,UBC,22871113
SOCS1,SOCS2,16956890
PRKCB,STXBP1,8631738
SRCIN1,UBC,22871113
HGF,INSR,7953556
NEDD4,SCNN1G,11805112;8665844;11502596
SLC40A1,SQSTM1,12431995
NEDD4,SCNN1B,8665844;9923703;12654927
ESR2,PCNA,19683557
NEDD4,SCNN1A,8665844
DYNLL1,MTA1,14760703
NDFIP1,NEDD4,22417925
CBL,CRK,11146548;9348226
NR3C1,UBC,24334056
CCNE1,CTNNB1,14985333
SCN3A,UBC,22871113
CBL,F2RL1,15708858
TMUB1,UBC,22871113
GCLC,GCLM,9675072
UBC,ZFP280D,22871113
AGTR1A,SRC,16151024
MAPK9,UBC,22871113
ATP2B4,UBC,22871113
PSMA1,UBC,22871113
GIPC1,NTRK2,11251075
GIPC1,NTRK1,16819522
NBR1,TRIM55,15802564
ME1,UBC,22871113
NOS1,NOSIP,15548660
PSMC2,UBC,22871113
LIPE,STAR,12925534
CD5,PRKCG,11123317
HSPA8,SGTA,10567422
ITM2A,UBC,22871113
ATRX,MECP2,17296936
DCX,NFASC,12223548
BAX,BCL2,16642033
LIN7C,MARCH11,17604280
BCAR1,FYN,11181827
TMEM59L,UBC,22871113
KAT5,PLA2G4A,11416127
ABCB11,AP2M1,22262466
HGS,STX1A,10825299
RUFY3,UBC,22871113
STX1A,STXBP1,8108429;21266332;7768895;8996080;22411134
STX1A,STXBP2,7768895
PREPL,UBC,22871113
KLF4,SP1,22337869
NFYC,SP1,11022037
ANXA1,RAD23B,19182904
PHB2,PLCB1,23665500
EXD2,UBC,22871113
UBC,VDAC3,22871113
IL1R1,TOLLIP,19198660
UBC,VDAC1,22871113
CXXC4,DVL1,11113207
FSCN1,UBC,22871113
CLTC,GABARAP,18027972
CLTC,EPN1,10567358;11382783;12234931
PTEN,UBC,20100827
DLG1,TANC1,15673434
HGF,SHC1,7953556
NGF,NGFR,18596692
ESR1,TSC1,15851513
PARK2,SLC6A3,17873367
LMAN1,TMED9,9472029
CUL2,HIF1A,19950214
APC,CTNNB1,20623542;16815997
SMAD3,SOX9,16109717
CSNK1E,PER3,10899319
CSNK1E,PER2,10899319
CSNK1E,PER1,10899319
CANX,SNCA,16854843
HIF1A,UBC,19950214;24478626
ACTG1,DLG4,12063253
CCT3,UBC,22871113
UBC,VAMP1,22871113
UBC,VAMP3,22871113
GRIK2,UBC,17062563
DNM3,DYNLL1,14760703
CRMP1,UBC,22871113
MAP3K14,UBC,22871113
GRM7,TUBA1A,11953448
BAIAP2,CNKSR3,14596909
CUL1,KLHL17,17062563
CDC20,PLCB1,19347873
CAMK2B,TUBG1,21725312
MAP2K1,MAPK1-B,8026469
CAMK1,CAMKK2,16054096
ERBB2,LNX1,16122940
CAMK1,CAMKK1,16054096
DNMT3B,HDAC2,15632075
APBA2,NRXN1,11036064
TNNT2,UBC,19801490
PALM,UBC,22871113
SPTAN1,TES,15656790
TCERG1,UBC,22871113
CACNA1C,DERL1,21186355
DLG4,EFNB2,15458844
BAG6,UBC,22871113
PARP1,SRC,15607978
RPS10,UBC,22871113
FLCN,FNIP1,19914239
AP2A2,SNAP91,10430869;17762867
AP1M1,MARCH11,17604280
DLGAP3,GRASP,12586822
MAPK3,PRKCA,20181831
TMOD2,UBC,22871113
CACNA1B,UBE2L3,24566975
AMPH,SYNM,8552632
AHR,ARNT,18078967
GRIA2,GRIP1,15458844;14730302
CSNK1A1,ESC,15896722
ATP4A,FXYD3,15743908
ERLIN1,ERLIN2,19240031
RUNX2B,VDR,20236534
EIF4EBP1,MTOR,10364159;10471835;9204908
GDU2,MGRN1,24036454
RUNX2,VDR,15456860;20236534
CDKN1B,RNF123,21229311
FAM115A,UBC,22871113
ARFGEF1,UBC,22871113
HNRNPC,UBC,22871113
CDK2,HIST1H1A,9344597;14985333
EPB41L2,SPTBN1,11274145
NPTX2,NPTXR,10748068
NEUROD1,SREBF1,16055439
APP,UBC,22871113
KIF11,THRB,7776974
CDK2,HIST1H1T,15631990
ATXN3,TUBA1A,19666135
RELN,UBC,22871113
UBC,USP2,10938131
UBC,USP4,22871113
UBC,USP5,22871113
DRD1,GRIN1,12408866
ELL,POLR2G,9268387
NLGN1,SIPA1L1,15458844
SGTA,UBC,22871113
AP2M1,DAB2,12234931
COPS2,THRB,7776974
ACTN1,SPTAN1,11274145
CDK2,LMNB1,9053846
CEBPA,HDAC3,23639777
CALM1,UBC,22871113
ELL,POLR2H,9268387
DYNLL1,MTR,14760703
MAPRE3,UBC,22871113
PRKCD,RAC1,19356729
DYNLL1,VIM,14760703
RPL18,UBC,22871113
AMPH,AP2B1,16903783;11382783
CAPZB,DAB1,18076569
GABBR1,GABBR2,24114844
ADRB2,ARRB2,17666399;16368719
KHDRBS3,YTHDC1,11118435
CSNK2B,NFKBIA,10398585
IGBP1,PPP4C,20544796
DNM1,PIAS1,15123615
CEP170,GRASP,12586822
UBA1,UBC,22871113
CASKIN1,EPHA2,19523119
TCEB2,VHL,9341197;9122164;7660122
NGEF,UBC,22871113
DACT2,TCF3,21718540
AGTR1A,ARRB1,17498700
HSPA5,THBS1,9006956
CDK5,SYNJ1,14704270
EXOSC8,VHL,7604013
CANX,HOMER3,22486777
RBL2,UBC,19533683
AXIN1,MACF1,16815997
ESR1,UBC,21808025
PAIP2,UBR5,16601676
ATP6V1B2,UBC,22871113
FBXO22,SRR,25336657
BCL2L11,MUD1,21378313
AP1G1,SCARB2,15469932
CRHR2,UCN3,11416224
GNE,KIAA1549,17118363
GRIA2,UBC,22871113
CASKIN1,L1CAM,19523119
KCNJ16,UBC,22871113
DLGAP1,TANC1,15673434
PRPS1,XIAP,22792159
PSMD4,RANBP2,17911097
MAPT,PRKCG,3111527
AATF,TSG101,14761944
GAPDH,NCALD,11964161
ATP1A1,CFL1,11139403
ACTG1,DYNLL1,14760703
PPP2CB,UBC,22871113
DLGAP1,SHANK3,10433268
DLGAP1,SHANK2,10433268
DLGAP1,SHANK1,10433268
RAB8B,UBC,22871113
NTRK1,UBE2L3,16246731
RAD23B,TPM2,19182904
RAD23B,TPM1,19182904
BRDT,SMARCE1,22215678
GOPC,STX6,11384996
ATXN3,MAP2,19666135
DYNLL1,PFKM,14760703
APC,GSK3B,20623542;16815997
HIST1H1T,UBC,22871113
HRAS,RAF1,9679960
DYNLL1,PFKP,14760703
DNM2,DYNLL1,14760703
LYN,UBC,14531861;11137137;22871113
FKBP4,NR3C1,23686112
GABRB1,PRKCG,1321150
UBC,UBE2QL1,22871113
MOBP,UBC,22871113
NPTX1,NPTX2,10748068
TRIM2,UBC,22871113
STX17,STX3,9852078
NPM3,TNP2,19710011
NTRK1,TRAF6,16246731
RBL2,SUV39H1,15769944
PSMC6,RANBP2,17911097
NCALD,UBC,22871113
NPTX1,NPTXR,10748068
MDM2,UBC,17060322
BAG3,HSPA8,21423662
MYO6,PDLIM2,15505042
CNRIP1,UBC,22871113
CBFA2T3,UBC,22871113
CTNND2,GSK3B,20623542
CTBP1,IKZF1,22301782
HGS,NTRK2,19351881
SELPLG,UBC,22871113
GRASP,ZHX1,12586822
PSMC3,UBC,22871113
TRIM32,UBC,22871113
CAV1,MLC1,19931615
SENP2,SUMO3,17428805
SENP2,SUMO2,17428805
CASKIN1,STMN3,19523119
LEP,ZBTB17,11068878
NOS1,VAC14,17161399
DYNLL1,ZFP780B,14760703
KPNB1,PLCB1,23665500
LOC366310,PHAX,15574332
PPAP2B,UBC,22871113
EFNB2,SRC,16511561
EIF4EBP1,MAPK1,9092573;9204908
RAD23B,VCP,19182904
RAD23B,USP5,19182904
AMPH,PPP3CB,9388246
RAD23B,USP7,19182904
PPARA,UBC,19103650
HSP90AA1,NOS1,22128174
EXOC3,RALA,11406615
IKBKB,TRAF6,16079148
GRB2,SYNJ1,9428629
MAPK1,MAPK3,20181831
CCNE1,KRAS,11384971
DYT10,GRM5,15894802
KCNA2,UBC,22871113
FAIM2,UBC,22871113
DYNC1H1,GLRB,16449194
DAPK3,RAB3IP,10580117;10602480
SHANK2,SSTR2,10373412
NR3C1,PSMC3IP,11739747
AP2B1,UBC,22871113
SMURF1,SMURF2,17906294
SF1,SNURF,14988433
FOXO1,UBC,17210752
GDU1,MGRN1,24036454
EPS15,SYNJ1,9428629
UBC,USP9X,22871113
AIFM3,UBC,22871113
SCN2B,UBC,22871113
ACTN4,LRRC7,11160423
IGSF5,LNX1,16832352
AP2A2,SYNJ1,17762867
GRIN2B,UBC,22871113
CAMK2B,CDC20,21725312
ATP2B3,UBC,22871113
NEDD4,YWHAB,15677482
NEDD4,YWHAE,15677482
CDKN1C,SKP2,19533683
NEDD4,YWHAG,15677482
NECAP1,SNAP91,17762867
NEDD4,YWHAH,15677482
CXCL2,UBC,22871113
